Time (s),x,y,z
1.6546946967059564e+18,13.57500076,39.97500229,-12.97500038
1.6546946967159562e+18,13.20000076,40.05000305,-12.75000095
1.6546946967259564e+18,13.20000076,39.97500229,-12.37500095
1.6546946967359562e+18,13.05000019,39.82500076,-11.92500019
1.6546946967459564e+18,13.12500095,39.82500076,-11.55000019
1.654694696755956e+18,13.12500095,39.75,-11.02500057
1.654694696765956e+18,13.12500095,39.60000229,-10.72500038
1.654694696775956e+18,13.12500095,39.60000229,-10.20000076
1.654694696785956e+18,13.27500057,39.75,-9.675000191
1.654694696795956e+18,13.57500076,39.75,-9.150000572
1.654694696805956e+18,13.50000095,39.90000153,-8.850000381
1.654694696815956e+18,13.57500076,39.97500229,-8.550000191
1.654694696825956e+18,13.50000095,40.05000305,-8.25
1.654694696835956e+18,13.57500076,40.125,-7.950000286
1.6546946968459564e+18,13.95000076,40.20000076,-7.425000191
1.6546946968559562e+18,14.10000038,40.27500153,-7.050000191
1.6546946968659564e+18,14.10000038,40.35000229,-6.750000477
1.6546946968759562e+18,14.02500057,40.27500153,-6.600000381
1.6546946968859564e+18,14.10000038,40.27500153,-6.075000286
1.6546946968959562e+18,13.95000076,40.35000229,-5.700000286
1.6546946969059564e+18,13.95000076,40.27500153,-5.325000286
1.6546946969159562e+18,13.65000057,40.5,-4.800000191
1.6546946969259564e+18,13.35000038,40.35000229,-4.350000381
1.6546946969359562e+18,13.20000076,40.42500305,-3.825000048
1.6546946969459564e+18,12.97500038,40.5,-3.150000095
1.6546946969559562e+18,12.82500076,40.65000153,-2.700000048
1.6546946969659564e+18,12.75000095,40.72500229,-2.325000048
1.6546946969759562e+18,12.75000095,40.72500229,-2.025000095
1.6546946969859564e+18,12.67500019,41.10000229,-1.575000048
1.6546946969959562e+18,12.60000038,41.25,-1.200000048
1.654694697005956e+18,12.60000038,41.40000153,-0.9750000238
1.654694697015956e+18,12.37500095,41.47500229,-0.9000000358
1.654694697025956e+18,12.30000019,41.40000153,-0.9000000358
1.654694697035956e+18,12.22500038,41.32500076,-0.75
1.654694697045956e+18,12.0,41.625,-0.6750000119
1.654694697055956e+18,11.85000038,41.70000076,-0.5250000358
1.654694697065956e+18,11.625,41.47500229,-0.5250000358
1.654694697075956e+18,11.47500038,41.32500076,-0.4500000179
1.654694697085956e+18,11.02500057,41.40000153,-0.6000000238
1.6546946970959562e+18,10.875,41.47500229,-0.3000000119
1.6546946971059564e+18,10.72500038,41.55000305,-0.3000000119
1.6546946971159562e+18,10.72500038,41.70000076,0.07500000298
1.6546946971259564e+18,10.875,41.47500229,0.2250000089
1.6546946971359562e+18,10.95000076,41.77500153,0.375
1.6546946971459564e+18,10.95000076,41.77500153,0.5250000358
