"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.879133460E-1,-3.462007269E-3,3.195699072E-3,-9.320789250E-4,4.802786484E-3
5.904467310E-1,-2.663082560E-4,1.065233024E-3,-1.997311832E-3,2.279231458E-3
5.929796480E-1,1.864157850E-3,1.065233024E-3,-9.320789250E-4,2.340636026E-3
5.955127210E-1,1.864157850E-3,0.000000000E0,-9.320789250E-4,2.084191837E-3
5.980474080E-1,1.864157850E-3,0.000000000E0,1.198387123E-3,2.216126392E-3
6.006055330E-1,-2.663082560E-4,4.260932095E-3,1.198387123E-3,4.434252373E-3
6.031115750E-1,-4.527240526E-3,2.130466048E-3,4.394086078E-3,6.659037830E-3
6.056490750E-1,7.989247679E-4,1.065233024E-3,2.263620263E-3,2.626209983E-3
6.081801170E-1,7.989247679E-4,-1.065233024E-3,1.198387123E-3,1.791405559E-3
6.107197000E-1,-3.462007269E-3,2.130466048E-3,1.198387123E-3,4.237984380E-3
6.132367310E-1,-1.331541222E-3,-1.065233024E-3,2.263620263E-3,2.834025426E-3
6.157931380E-1,1.864157850E-3,0.000000000E0,4.394086078E-3,4.773162154E-3
6.183190230E-1,3.994623665E-3,-1.065233024E-3,3.328853287E-3,5.307824773E-3
6.208482420E-1,2.929390874E-3,-3.195699072E-3,1.331541280E-4,4.337228778E-3
6.233822520E-1,-2.663082560E-4,0.000000000E0,1.198387123E-3,1.227620374E-3
6.259192310E-1,-2.396774245E-3,2.130466048E-3,2.263620263E-3,3.925224714E-3
6.284494400E-1,-1.331541222E-3,2.130466048E-3,2.263620263E-3,3.381695477E-3
6.309815750E-1,-1.331541222E-3,0.000000000E0,1.198387123E-3,1.791405515E-3
6.335175130E-1,-2.663082560E-4,1.065233024E-3,1.198387123E-3,1.625353247E-3
6.360480330E-1,2.929390874E-3,0.000000000E0,3.328853287E-3,4.434252485E-3
6.385811580E-1,2.929390874E-3,2.130466048E-3,1.331541280E-4,3.624630532E-3
6.411153770E-1,7.989247679E-4,0.000000000E0,1.198387123E-3,1.440282084E-3
6.436481900E-1,1.864157850E-3,2.130466048E-3,-9.320789250E-4,2.980392792E-3
6.461816270E-1,-2.663082560E-4,5.326164886E-3,1.198387123E-3,5.465810478E-3
6.487149080E-1,-3.462007269E-3,1.065233024E-3,1.198387123E-3,3.815278158E-3
6.512495960E-1,-1.331541222E-3,1.065233024E-3,1.331541280E-4,1.710395697E-3
6.537816790E-1,7.989247679E-4,0.000000000E0,1.198387123E-3,1.440282084E-3
6.563172000E-1,7.989247679E-4,1.065233024E-3,2.263620263E-3,2.626209983E-3
