"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.385955267E0,7.125000477E0,-2.700000191E1,-2.135250092E2
3.395955267E0,7.050000191E0,-2.670000076E1,-2.133750153E2
3.405955267E0,7.050000191E0,-2.677500153E1,-2.134500122E2
3.415955267E0,7.125000477E0,-2.685000038E1,-2.135250092E2
3.425955267E0,7.125000477E0,-2.692500114E1,-2.138250122E2
3.435955267E0,7.200000286E0,-2.692500114E1,-2.137500153E2
3.445955267E0,6.975000381E0,-2.692500114E1,-2.138250122E2
3.455955267E0,6.975000381E0,-2.677500153E1,-2.137500153E2
3.465955267E0,6.975000381E0,-2.685000038E1,-2.136750031E2
3.475955267E0,7.200000286E0,-2.707500076E1,-2.137500153E2
3.485955267E0,7.200000286E0,-2.700000191E1,-2.136750031E2
3.495955267E0,7.050000191E0,-2.677500153E1,-2.135250092E2
3.505955267E0,7.200000286E0,-2.700000191E1,-2.135250092E2
3.515955267E0,7.125000477E0,-2.707500076E1,-2.136750031E2
3.525955267E0,7.350000381E0,-2.692500114E1,-2.136750031E2
3.535955267E0,7.275000095E0,-2.692500114E1,-2.137500153E2
3.545955267E0,7.275000095E0,-2.685000038E1,-2.136000061E2
3.555955267E0,7.125000477E0,-2.685000038E1,-2.136750031E2
3.565955267E0,7.275000095E0,-2.677500153E1,-2.135250092E2
3.575955267E0,7.275000095E0,-2.685000038E1,-2.135250092E2
3.585955267E0,7.125000477E0,-2.640000153E1,-2.132250061E2
3.595955267E0,7.275000095E0,-2.632500076E1,-2.131500092E2
3.605955267E0,7.200000286E0,-2.647500038E1,-2.132250061E2
3.615955267E0,7.125000477E0,-2.640000153E1,-2.130750122E2
3.625955267E0,7.350000381E0,-2.625000191E1,-2.132250061E2
3.635955267E0,7.425000191E0,-2.595000076E1,-2.132250061E2
3.645955267E0,7.275000095E0,-2.602500153E1,-2.134500122E2
3.655955267E0,7.275000095E0,-2.610000038E1,-2.134500122E2
3.665955267E0,7.200000286E0,-2.647500038E1,-2.136750031E2
3.675955267E0,7.275000095E0,-2.655000114E1,-2.137500153E2
3.685955267E0,7.275000095E0,-2.655000114E1,-2.136000061E2
3.695955267E0,7.425000191E0,-2.685000038E1,-2.136000061E2
3.705955267E0,7.350000381E0,-2.700000191E1,-2.136000061E2
3.715955267E0,7.275000095E0,-2.722500038E1,-2.136000061E2
3.725955267E0,7.275000095E0,-2.722500038E1,-2.133000031E2
3.735955267E0,7.275000095E0,-2.722500038E1,-2.136000061E2
3.745955267E0,7.350000381E0,-2.700000191E1,-2.136000061E2
3.755955267E0,7.350000381E0,-2.692500114E1,-2.136000061E2
3.765955267E0,7.350000381E0,-2.685000038E1,-2.136750031E2
3.775955267E0,7.425000191E0,-2.670000076E1,-2.136750031E2
3.785955267E0,7.350000381E0,-2.662500191E1,-2.137500153E2
3.795955267E0,7.500000477E0,-2.662500191E1,-2.136750031E2
3.805955267E0,7.500000477E0,-2.632500076E1,-2.136750031E2
3.815955267E0,7.575000286E0,-2.640000153E1,-2.136000061E2
3.825955267E0,7.575000286E0,-2.647500038E1,-2.135250092E2
3.835955267E0,7.350000381E0,-2.640000153E1,-2.132250061E2
3.845955267E0,7.200000286E0,-2.640000153E1,-2.133000031E2
3.855955267E0,7.200000286E0,-2.640000153E1,-2.133000031E2
3.865955267E0,7.050000191E0,-2.640000153E1,-2.133000031E2
3.875955267E0,6.975000381E0,-2.640000153E1,-2.133750153E2
3.885955267E0,7.125000477E0,-2.662500191E1,-2.134500122E2
3.895955267E0,7.125000477E0,-2.662500191E1,-2.134500122E2
3.905955267E0,7.275000095E0,-2.662500191E1,-2.136750031E2
3.915955267E0,7.350000381E0,-2.670000076E1,-2.137500153E2
3.925955267E0,7.575000286E0,-2.662500191E1,-2.136750031E2
3.935955267E0,7.425000191E0,-2.670000076E1,-2.135250092E2
3.945955267E0,7.500000477E0,-2.647500038E1,-2.136000061E2
3.955955267E0,7.575000286E0,-2.655000114E1,-2.134500122E2
3.965955267E0,7.725000381E0,-2.655000114E1,-2.136000061E2
3.975955267E0,7.800000191E0,-2.655000114E1,-2.135250092E2
3.985955267E0,7.575000286E0,-2.632500076E1,-2.133000031E2
3.995955267E0,7.650000095E0,-2.632500076E1,-2.136000061E2
4.005955267E0,7.575000286E0,-2.640000153E1,-2.135250092E2
4.015955267E0,7.725000381E0,-2.655000114E1,-2.137500153E2
4.025955267E0,7.650000095E0,-2.670000076E1,-2.136000061E2
4.035955267E0,7.500000477E0,-2.662500191E1,-2.136750031E2
4.045955267E0,7.200000286E0,-2.662500191E1,-2.135250092E2
