"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.115613288E0,-7.832840085E-3,-1.585994288E-2,4.773044586E-2
1.120654590E0,5.220040679E-3,-2.149681747E-2,1.169967651E-2
1.125807507E0,-7.783308625E-3,8.338339627E-3,-3.353214264E-2
1.130848809E0,-1.492181420E-2,-1.196220517E-2,4.038715363E-2
1.135890215E0,-2.970904112E-3,-3.716688603E-3,-1.458740234E-2
1.140931517E0,-3.158211708E-2,-2.024732530E-2,-2.278137207E-2
1.145972871E0,1.154345274E-2,-2.195559442E-3,8.293151855E-3
1.151014173E0,-8.718192577E-3,1.373026520E-3,5.846977234E-3
1.156224954E0,1.281441748E-2,-1.517246664E-2,2.955627441E-2
1.161266309E0,-1.461194456E-2,-2.215589955E-2,7.930755615E-3
1.166307663E0,1.047857106E-2,8.924696594E-3,-2.776813507E-2
1.171348965E0,4.426702857E-3,8.890092373E-3,-1.090812683E-2
1.176390319E0,-1.918378472E-2,-2.334401384E-2,4.144573212E-2
1.181431621E0,9.482726455E-3,1.729923114E-2,-1.658439636E-3
1.186622194E0,-2.153119445E-2,-4.290111363E-3,4.705238342E-2
1.191663548E0,-2.296030521E-3,1.590040326E-2,3.901481628E-3
1.196704902E0,7.224962115E-3,-1.868833601E-2,-8.821487427E-4
1.201746204E0,-1.300162077E-2,-3.102645278E-3,-3.650665283E-2
1.206787559E0,-8.116602898E-3,-2.340921015E-2,-1.758575439E-3
1.211828861E0,-1.638931036E-2,-7.965527475E-3,-4.925727844E-2
1.217028913E0,5.153223872E-3,-2.702119946E-2,2.360725403E-2
1.222070267E0,-1.017485559E-2,1.016663015E-2,2.341270447E-2
1.227111621E0,-1.127800345E-2,-2.994678915E-3,-2.911567688E-3
1.232152923E0,-3.953948617E-3,-1.793913543E-3,2.205657959E-2
1.237194277E0,1.740720868E-2,-3.030724823E-3,1.830863953E-2
1.242235579E0,1.256278157E-2,-1.725882292E-3,-3.223419189E-3
1.247396569E0,2.188053727E-2,2.797093987E-2,-4.384994507E-3
1.252437923E0,-1.512233913E-2,-1.139219478E-2,1.940727234E-2
1.257479277E0,6.409019232E-3,1.843715459E-2,2.399826050E-2
1.262520579E0,3.612786531E-2,-6.672743708E-3,-2.489948273E-2
1.267561934E0,4.841670394E-3,-6.899386644E-4,-8.065223694E-3
1.272603236E0,3.333294392E-2,5.321267992E-3,-2.462673187E-2
1.277795579E0,2.833043039E-2,-1.136292145E-2,-2.204513550E-2
1.282836934E0,4.210025072E-3,3.039478883E-2,-1.354885101E-2
1.287878236E0,-5.249902606E-3,1.650255173E-3,1.507091522E-2
1.292919590E0,4.373610020E-3,-3.155509755E-2,-2.868652344E-3
1.297960892E0,1.032750309E-2,4.225920886E-3,-6.408691406E-3
1.303002246E0,1.494053006E-2,2.914119512E-3,3.165149689E-2
1.308215319E0,3.141771257E-2,-1.358997822E-2,1.238441467E-2
1.313256673E0,-1.144814491E-2,1.617941633E-2,1.822185516E-2
1.318297975E0,1.635625958E-3,-8.859600872E-3,-4.497528076E-3
1.323339329E0,-1.387065649E-2,3.080219030E-3,-5.791091919E-2
1.328380684E0,-1.613043249E-2,-1.828532666E-2,-2.417182922E-2
1.333421986E0,-1.742944121E-3,-1.693093032E-2,-3.228378296E-2
1.338604121E0,-2.062633634E-2,1.524112374E-2,1.242637634E-3
1.343645423E0,1.169303060E-2,-6.226446480E-3,2.498912811E-2
1.348686777E0,1.634685695E-2,1.397916675E-2,-1.322746277E-2
1.353728079E0,2.808880806E-2,1.026057452E-2,1.301288605E-2
1.358769434E0,9.986594319E-3,-5.225673318E-3,-2.535820007E-3
1.363810736E0,-2.102993429E-2,9.033169597E-3,1.292419434E-2
1.368986465E0,1.124098897E-2,5.303785205E-3,2.944564819E-2
